Submission ID,Submitted at,選擇一種動物來代表你/妳自己（什麼都可以）：,你/妳在哪所大學念書？,你/妳的學習階段：,你/妳的學習科系：,你/妳現在的學歷狀態是什麼？,你/妳來自哪個國家？,你/妳幾歲？,如果你/妳懷疑你/妳要買的番茄可能是由強迫勞工（現代奴隸）採摘的，你/妳仍然會買它嗎？,你/妳會買哪一種番茄？,你/妳關心食安嗎？,你/妳會買哪種雞蛋？,你/妳買哪種牛奶？,你/妳7年內買車嗎？🚘,你/妳7年內買房嗎？🏡,你/妳購物時知道產品環保嗎？,你/妳有信任的品牌嗎？,你/妳覺得認證環保的公司更好嗎？,你/妳支持肉稅嗎？,你/妳關心食用雞的生活嗎？,你/妳避免吃肉嗎？,你/妳有沒有抵制過某公司？,為什麼抵制？,你/妳覺得你/妳花錢會影響環境嗎？,你/妳會對金錢感到焦慮嗎？,你/妳會對金錢很節儉嗎？,你/妳會經常存錢嗎？,你/妳對自己的財務知識滿意嗎？,你/妳覺得目前有任何投資嗎？,你/妳有投資經驗如何？,你/妳選哪個投資？,你/妳投資會考慮環保嗎？,你/妳覺得台灣的經濟目標是增長嗎？,你/妳覺台灣的得環境退化是台灣的經濟增長的前提嗎？,你/妳覺得台灣的經濟增長有助於保護環境嗎？,你/妳覺得經濟能不排CO2也增長嗎？,你/妳覺得經濟增長有物質限制嗎？,你/妳會每天都用AI嗎？,你/妳會信任AI嗎？,你/妳想要AI扮什麼角色？,其他,你/妳想要AI有個造型嗎？,你/妳喜歡如何與AI溝通？,你/妳喜歡待在大自然嗎？,你/妳擔心氣候變化嗎？,你/妳對環境污染情況會感到焦慮嗎？,你/妳知道許多植物和動物的名字嗎？,你/妳覺得如何依照生態系對環境惡化的敏感度來排名？,你/妳感覺自己和大自然很接近嗎？,你/妳努力實踐低碳生活嗎？,誰或什麼對你/妳環保態度影響最大的？,你/妳想做更多環保事嗎？,你/妳對環境相關政治議題有興趣嗎？,你/妳怎去學校？,你/妳今年（2023年）搭飛機幾次？✈️,* 例如搭飛機會產生碳排放，可以購買碳抵消來種樹,你/妳信任碳排放抵消額度嗎？,想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些?,想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看產品的運輸距離（是不是當地食品）),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看公司生產過程多環保),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看公司工人的員工福利多好),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前查看AI摘要的消費者對公司環保的評論),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (用社交網絡認識其他環保的同學),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先了解哪些產品污染最嚴重，以便避免它們),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (每個月查看我自己的環保分數報告（了解我用錢的方式多環保）),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先尋找有機產品),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (跟我的AI幫手討論環保問題),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前查看公司的環保認證和生態評分),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (如何讓我支持的公司更環保),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先了解我吃的動物性食品，動物的生活環境),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (老實說我對任何環保資訊都沒有太多興趣),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前比較公司的環保表現),其他選項,每月你/妳願意支付多少錢讓AI陪伴你/妳做更環保的財務決策？,你/妳的環保行動對環境保護有效果嗎？,你/妳想在行業內推環保嗎？,你/妳得自己對新觀念開放嗎？,你/妳的大學對可環保性支持嗎？,你/妳覺得大學生如何影響公司的可持續行為？,你/妳有加入過什麼學生社團嗎？（選填）,你/妳最擔心什麼？（任何問題都可以，選填）,啟發你/妳的是？（什麼都可以，選填）,你/妳的MBTI？（選填）
BGxP91,2023-10-16 03:05:07,兔子,國立成功大學 National Cheng Kung University (NCKU),學士,台灣文學系,我還在就讀！,我是台灣人啊 🇹🇼！,18,3,價格：300 台幣 / 公斤。強迫勞工的概率：15%,4,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,4,2,3,沒有,4,3,3,2,有,支持相反的國際立場,4,4,3,3,2,沒有,無,政府債券。年化回報 2-3%,2,4,4,4,2,4,4,3,"助手, 幫手, 老師, 夥伴, 朋友, 教練, 導師",,2,以文字溝通,4,4,4,3,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",3,3,日漸滅絕的動物們,3,3,"腳踏車, 走路",0,沒有,3,"如何讓我支持的公司更環保, 跟我的AI幫手討論環保問題",False,False,False,False,False,False,False,False,True,False,True,False,False,False,,每月99台幣,4,4,4,4,消費上的支持,商業研究社、羽球社,,,ISFJ
42r4Bk,2023-10-16 03:48:25,北極熊,國立成功大學 National Cheng Kung University (NCKU),學士,企業管理學系,我還在就讀！,我是台灣人啊 🇹🇼！,21,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：108 台幣,3,1,4,無,4,3,3,1,沒有,,5,3,4,3,3,沒有,無,股市基金。年化回報 5-15%,3,3,2,3,4,4,4,2,"助手, 幫手, 教練, 導師, 老師, 夥伴, 朋友",,3,純文字,5,4,4,2,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",4,4,同儕,4,3,"腳踏車, 機車, 走路",0,沒有,3,"買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先尋找有機產品, 投資前查看公司的環保認證和生態評分, 投資前查看AI摘要的消費者對公司環保的評論, 投資前比較公司的環保表現, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）",False,False,False,True,False,True,True,True,False,True,False,True,False,True,,如果免費的話我會用它,3,3,5,4,小額投資/社群影響力,,,,
1rVWKW,2023-10-16 04:23:06,貓咪,國立虎尾科技大學 National Formosa University (NFU),學士,應用外語系,我還在就讀！,我是台灣人啊 🇹🇼！,19,1,價格：700 台幣 / 公斤。強迫勞工的概率：2%,2,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：72 台幣,3,3,2,無,1,1,2,1,沒有,,4,3,4,4,2,沒有,無,加密貨幣。高度變動性，每年最高可達 50% 或更多,2,3,3,3,3,3,2,2,"夥伴, 朋友, 助手, 幫手, 老師, 教練, 導師",,5,用程式,4,4,4,3,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",3,3,新聞,3,3,腳踏車,0,沒有,3,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先尋找有機產品, 買東西先了解我吃的動物性食品，動物的生活環境",True,True,True,False,False,True,False,True,False,False,False,True,False,False,,如果免費的話我會用它,2,3,2,3,能力,系學會,,,
24PjJA,2023-10-16 04:28:10,土撥鼠,臺南應用科技大學 Tainan University of Technology (TUT),學士,商品設計系,我還在就讀！,我是台灣人啊 🇹🇼！,22,1,價格：700 台幣 / 公斤。強迫勞工的概率：2%,4,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：108 台幣,5,5,5,義美,5,5,5,3,沒有,,3,5,3,3,5,沒有,無投資,股市基金。年化回報 5-15%,5,3,3,5,4,4,5,5,"夥伴, 導師, 幫手, 朋友, 老師, 助手, 教練",,5,問我不了解的問題,5,5,5,3,"珊瑚礁, 濕地, 沙漠, 草原, 熱帶雨林",5,5,垃圾問題,5,5,走路,0,沒有,3,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先查看公司工人的員工福利多好, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先尋找有機產品, 如何讓我支持的公司更環保",True,True,True,False,False,False,False,True,False,False,True,True,False,False,,如果免費的話我會用它,5,5,5,5,多樣想法,學生會,擔心環保,外在世界,INFJ
bldxO0,2023-10-16 06:30:24,樹懶,國立成功大學 National Cheng Kung University (NCKU),學士,台灣文學系,我還在就讀！,我是台灣人啊 🇹🇼！,18,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,1,1,3,Roots,4,2,2,2,有,地溝油,3,3,3,4,2,沒有,沒有,政府債券。年化回報 2-3%,2,4,2,2,3,3,2,3,"幫手, 助手, 朋友, 教練, 夥伴, 老師, 導師",,2,沒溝通過,4,4,3,2,"濕地, 珊瑚礁, 沙漠, 草原, 熱帶雨林",3,3,錢,4,2,"腳踏車, 走路",2,沒有,3,買東西先了解哪些產品污染最嚴重，以便避免它們,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,如果免費的話我會用它,4,3,4,4,消費,吉他,冰山融化，海平面上升,紀錄片,INFP
24PNMe,2023-10-16 06:43:43,熊,國立成功大學 National Cheng Kung University (NCKU),學士,外國語文學系,我還在就讀！,我是台灣人啊 🇹🇼！,19,3,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1,1,4,光泉,4,4,4,3,沒有,,4,4,3,3,3,沒有,沒有,股市基金。年化回報 5-15%,3,3,3,2,4,4,4,3,"導師, 老師, 助手, 教練, 幫手, 朋友, 夥伴",,2,提出指令，並請它整合,4,4,4,2,"草原, 珊瑚礁, 濕地, 熱帶雨林, 沙漠",2,2,海龜鼻子中插入塑膠吸管一新聞,4,3,"走路, 腳踏車",0,沒有,3,"買東西先了解我吃的動物性食品，動物的生活環境, 買東西先了解哪些產品污染最嚴重，以便避免它們",False,False,False,False,False,True,False,False,False,False,False,True,False,False,,如果免費的話我會用它,4,3,2,4,透過消費行為,,,,ENFJ
EPWXoN,2023-10-16 06:55:35,烏龜,國立成功大學 National Cheng Kung University (NCKU),博士,建築系,我還在就讀！,我是台灣人啊 🇹🇼！,26,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：108 台幣,2,2,3,瑞穗鮮乳,4,3,3,2,有,食安問題,4,3,3,3,3,有,還行,股市基金。年化回報 5-15%,3,4,3,4,4,4,3,3,"助手, 幫手, 夥伴, 朋友, 老師, 導師, 教練",,3,問問題,3,4,3,3,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",3,3,教育,3,3,摩托車,1,沒有,2,"買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 投資前查看公司的環保認證和生態評分, 投資前比較公司的環保表現, 用社交網絡認識其他環保的同學, 跟我的AI幫手討論環保問題",False,True,False,False,True,True,False,False,True,True,False,True,False,True,,如果免費的話我會用它,3,3,3,3,實習,攝影社,,,INFP
ylY518,2023-10-16 13:23:03,狐狸,國立成功大學 National Cheng Kung University (NCKU),學士,資工,我還在就讀！,我是台灣人啊 🇹🇼！,20,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,1,1,2,無,5,4,2,1,沒有,,4,2,3,4,2,沒有,無,股市基金。年化回報 5-15%,2,4,2,4,4,4,4,2,"幫手, 助手, 教練, 老師, 導師, 夥伴, 朋友",,4,叫它講笑話,5,4,4,5,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",5,3,實際考察,4,2,腳踏車,0,沒有,2,"買東西先了解哪些產品污染最嚴重，以便避免它們, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 跟我的AI幫手討論環保問題, 買東西先查看產品的運輸距離（是不是當地食品）, 買東西先尋找有機產品, 買東西先了解我吃的動物性食品，動物的生活環境",True,False,False,False,False,True,True,True,True,False,False,True,False,False,,如果免費的話我會用它,4,4,4,5,一群人提出的專案或是想法，去投稿或是比賽,,,,
42reyd,2023-10-16 14:51:32,黑豹,國立成功大學 National Cheng Kung University (NCKU),學士,材料,我還在就讀！,我是台灣人啊 🇹🇼！,18,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,5,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,1,5,3,綠藤生機,4,4,3,1,有,公司使用的咖啡豆是壓榨農民得來的,4,4,3,3,2,有,長期的基金,股市基金。年化回報 5-15%,3,5,4,2,4,4,5,2,"幫手, 助手, 教練, 夥伴, 老師, 導師, 朋友",,4,打字,4,5,4,3,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",3,3,錢,4,3,"腳踏車, 走路",0,沒有,3,"買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先尋找有機產品, 投資前比較公司的環保表現, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）",False,True,False,False,False,True,True,True,False,False,False,False,False,True,,每月99台幣,3,4,5,5,改變消費,合唱團,,,ENTJ
VZ5gGv,2023-10-17 04:26:26,狐狸,國立成功大學 National Cheng Kung University (NCKU),學士,企管,我還在就讀！,我是台灣人啊 🇹🇼！,18,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,4,2,4,無,5,4,2,1,有,歧視亞洲人,5,5,4,5,2,沒有,無,股市基金。年化回報 5-15%,4,5,4,1,1,4,5,3,"助手, 幫手, 導師, 老師, 教練, 夥伴, 朋友",,1,不聊天,5,4,5,2,"熱帶雨林, 珊瑚礁, 沙漠, 草原, 濕地",4,2,網路資訊,4,4,"汽車, 摩托車, 機車, 公車",2,沒有,5,"投資前查看公司的環保認證和生態評分, 投資前比較公司的環保表現, 買東西先尋找有機產品, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先了解哪些產品污染最嚴重，以便避免它們",False,False,False,False,False,True,False,True,False,True,False,True,False,True,,每月99台幣,3,4,5,5,社群影響力,美食烹飪社,長大沒錢,身旁的朋友,ENFJ
YZW89B,2023-10-17 04:27:51,狐狸,國立成功大學 National Cheng Kung University (NCKU),學士,都市計劃,我還在就讀！,我是台灣人啊 🇹🇼！,20,2,價格：300 台幣 / 公斤。強迫勞工的概率：15%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,2,1,4,有,4,4,3,2,沒有,,2,4,5,5,3,有,約莫一年,股市基金。年化回報 5-15%,2,4,2,2,3,4,1,3,"助手, 幫手, 導師, 教練, 老師, 夥伴, 朋友",,1,問問題,5,4,4,3,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",4,4,無,3,3,機車,0,沒有,2,買東西先了解我吃的動物性食品，動物的生活環境,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,如果免費的話我會用它,3,3,4,4,無,服務性社團,,,
0E6XEQ,2023-10-17 04:37:49,狗,國立高雄科技大學 National Kaohsiung University of Science and Technology (NKUST),學士,航運管理,我還在就讀！,我是台灣人啊 🇹🇼！,22,3,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,4,3,4,無,5,3,4,1,沒有,,3,5,3,4,3,有,定期存款、基金,政府債券。年化回報 2-3%,2,4,2,4,3,4,3,3,"老師, 助手, 幫手, 教練, 導師, 朋友, 夥伴",,2,訊息,5,4,4,4,"珊瑚礁, 熱帶雨林, 濕地, 沙漠, 草原",4,3,打工換宿體驗到大自然的美好,4,4,機車,1,沒有,2,買東西先了解我吃的動物性食品，動物的生活環境,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,每月49台幣,3,4,4,4,網路聲量,系學會,,,ENFJ
1r7qP1,2023-10-17 04:42:20,鳥,國立成功大學 National Cheng Kung University (NCKU),學士,資訊工程學系,我還在就讀！,我是台灣人啊 🇹🇼！,22,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,1,1,3,不記得名字只記得包裝⋯⋯,4,4,2,1,有,食安問題,5,5,2,2,1,沒有,0,股市基金。年化回報 5-15%,2,3,2,2,1,4,4,2,"助手, 幫手, 夥伴, 教練, 朋友, 老師, 導師",,3,直接切入問題（具體詢問）,2,4,4,4,"濕地, 熱帶雨林, 珊瑚礁, 草原, 沙漠",2,2,生態破獲的議題之類的,4,4,摩托車,2,沒有,3,"買東西先了解我吃的動物性食品，動物的生活環境, 投資前比較公司的環保表現",False,False,False,False,False,False,False,False,False,False,False,True,False,True,,如果免費的話我會用它,3,3,3,3,輿論,,,,
PA5VO5,2023-10-17 04:42:43,猴子,國立成功大學 National Cheng Kung University (NCKU),學士,經濟,我還在就讀！,我是台灣人啊 🇹🇼！,18,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,2,1,4,有,4,3,3,1,有,有食安問題,4,3,4,4,3,沒有,沒有,股市基金。年化回報 5-15%,3,4,4,2,1,4,1,3,"幫手, 助手, 導師, 老師, 教練, 夥伴, 朋友",,4,問他問題他可以準確回答,4,4,4,3,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",2,2,高中時很愛環保的老師,3,4,"腳踏車, 機車",0,有,2,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先尋找有機產品, 投資前查看AI摘要的消費者對公司環保的評論, 如何讓我支持的公司更環保",True,True,False,True,False,True,False,True,False,False,True,False,False,False,,如果免費的話我會用它,3,3,5,3,購買或抵制商品,沒有,會不會被當,朋友同學居多,ISTP
7d2G40,2023-10-17 04:43:18,水母,國立成功大學 National Cheng Kung University (NCKU),學士,法律,我還在就讀！,我是台灣人啊 🇹🇼！,18,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,5,1,3,沒有,4,2,2,1,沒有,,4,5,1,2,2,沒有,沒有,股市基金。年化回報 5-15%,4,4,3,2,2,4,1,2,"教練, 導師, 老師, 助手, 幫手, 夥伴, 朋友",,4,聊天,4,4,4,3,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",5,3,國小老鼠,3,4,"機車, 摩托車",0,沒有,3,"買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們",False,False,True,False,False,True,False,False,False,False,False,False,False,False,,如果免費的話我會用它,4,3,5,3,參加社會運動,吉他社,世界得不到和平,戰爭,INFJ
qbA605,2023-10-17 04:44:39,松鼠,國立成功大學 National Cheng Kung University (NCKU),學士,外文系,我還在就讀！,我是台灣人啊 🇹🇼！,18,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1,1,5,"瑞穗,DrMilker",5,5,3,4,有,食安問題,4,5,4,3,2,沒有,無,股市基金。年化回報 5-15%,5,5,1,4,1,5,1,2,"幫手, 夥伴, 助手, 教練, 導師, 老師, 朋友",,1,Typing,4,5,2,2,"珊瑚礁, 熱帶雨林, 濕地, 沙漠, 草原",3,2,學校導師,4,4,"腳踏車, 機車",0,沒有,3,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先尋找有機產品, 投資前查看公司的環保認證和生態評分, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 跟我的AI幫手討論環保問題",True,True,False,False,False,True,True,True,True,True,False,False,False,False,,如果免費的話我會用它,4,3,5,4,在方案決策裡加入環保考量,辯論社,無家者安置,課綱裡的社會科探究,ISTP
OA5vZK,2023-10-17 04:44:52,樹懶,國立成功大學 National Cheng Kung University (NCKU),學士,外文系,我還在就讀！,我是台灣人啊 🇹🇼！,18,3,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1,1,5,無,5,3,4,1,沒有,,4,4,3,4,2,沒有,無,政府債券。年化回報 2-3%,2,5,4,2,3,2,2,2,"助手, 幫手, 教練, 夥伴, 老師, 朋友, 導師",,2,我都有禮貌的問問題,4,5,4,4,"珊瑚礁, 熱帶雨林, 濕地, 沙漠, 草原",2,4,家人,4,3,公車,0,沒有,3,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先尋找有機產品, 投資前查看公司的環保認證和生態評分",True,True,True,False,False,True,False,True,False,True,False,False,False,False,,如果免費的話我會用它,4,3,5,5,聯署,ISV,,,
yl9V2g,2023-10-17 04:45:46,貓,國立成功大學 National Cheng Kung University (NCKU),學士,數學系,我還在就讀！,我是台灣人啊 🇹🇼！,18,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1,1,4,無,4,2,2,1,沒有,,4,5,5,5,4,沒有,無,政府債券。年化回報 2-3%,2,4,4,4,4,3,2,2,"助手, 幫手, 老師, 夥伴, 教練, 導師, 朋友",,3,問答,3,4,4,2,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",2,3,新聞、社交平台,4,3,"腳踏車, 走路, 火車, 公車, 捷運",0,沒有,3,"買東西先了解哪些產品污染最嚴重，以便避免它們, 投資前查看AI摘要的消費者對公司環保的評論, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 如何讓我支持的公司更環保, 跟我的AI幫手討論環保問題, 買東西先查看產品的運輸距離（是不是當地食品）",True,False,False,True,False,True,True,False,True,False,True,False,False,False,,如果免費的話我會用它,3,3,4,4,消費行為,合唱團,,,INTP
OA5OVa,2023-10-17 04:47:53,貓,國立成功大學 National Cheng Kung University (NCKU),學士,牙醫系,我還在就讀！,我是台灣人啊 🇹🇼！,18,3,價格：500 台幣 / 公斤。強迫勞工的概率：5%,5,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1,2,5,國際大牌,5,4,3,3,沒有,,3,3,3,3,3,沒有,無,房地產投資信託。年化回報 2-7%,5,5,4,4,5,3,5,3,"夥伴, 朋友, 助手, 幫手, 老師, 導師, 教練",,4,語音,5,5,5,4,"熱帶雨林, 濕地, 珊瑚礁, 沙漠, 草原",5,5,媒體,5,5,腳踏車,5,沒有,5,"買東西先了解我吃的動物性食品，動物的生活環境, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）",False,False,False,False,False,False,True,False,False,False,False,True,False,False,,我不懂AI如何幫助我,5,5,5,5,社會輿論,無,沒有社團,家長,ISTP
oAMXxb,2023-10-17 04:49:56,貓,國立成功大學 National Cheng Kung University (NCKU),學士,牙醫系,我還在就讀！,我是台灣人啊 🇹🇼！,18,3,價格：700 台幣 / 公斤。強迫勞工的概率：2%,3,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：108 台幣,1,1,3,沒有,5,4,3,2,有,林鳳營＞頂新地溝油,5,4,3,3,3,沒有,沒有經驗,政府債券。年化回報 2-3%,4,4,4,2,2,4,2,4,"助手, 幫手, 朋友, 夥伴, 教練, 老師, 導師",,4,像人一樣跟他對話,4,4,4,4,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",3,2,網路上的演講或文章,4,3,腳踏車,2,沒有,3,"買東西先查看公司工人的員工福利多好, 投資前查看AI摘要的消費者對公司環保的評論, 買東西先尋找有機產品, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先查看產品的運輸距離（是不是當地食品）",True,False,True,True,False,False,False,True,False,False,False,True,False,False,,如果免費的話我會用它,3,3,4,4,發動抗議／抵制,,海平面上升,網路上的影片,INFP
blxbv6,2023-10-17 04:54:07,魚,國立成功大學 National Cheng Kung University (NCKU),碩士,材料系,我還在就讀！,我是台灣人啊 🇹🇼！,26,3,價格：300 台幣 / 公斤。強迫勞工的概率：15%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1,3,4,義美,4,3,2,1,有,誠信、政治立場,4,4,4,3,2,沒有,無,股市基金。年化回報 5-15%,2,4,4,2,2,4,2,4,"助手, 幫手, 朋友, 老師, 夥伴, 導師, 教練",,4,問答,4,4,3,3,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",2,3,國中老師,4,3,機車,4,沒有,3,"買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們",False,True,False,False,False,True,False,False,False,False,False,False,False,False,,如果免費的話我會用它,3,2,4,3,選擇有環保意識的公司就業,奇幻社,,,不知道
aBY7lX,2023-10-17 04:54:08,貓咪,國立成功大學 National Cheng Kung University (NCKU),學士,醫工系,我還在就讀！,我是台灣人啊 🇹🇼！,21,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,5,3,2,無,5,3,2,1,沒有,,5,4,4,5,3,沒有,期貨,股市基金。年化回報 5-15%,4,4,1,3,3,5,5,4,"助手, 老師, 夥伴, 幫手, 朋友, 教練, 導師",,5,給指令,4,5,5,3,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",3,4,自己,4,1,摩托車,7,有,5,"買東西先了解我吃的動物性食品，動物的生活環境, 投資前查看AI摘要的消費者對公司環保的評論, 用社交網絡認識其他環保的同學, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 老實說我對任何環保資訊都沒有太多興趣, 跟我的AI幫手討論環保問題",False,False,False,True,True,False,True,False,True,False,False,True,True,False,,每月49台幣,5,2,5,4,抗議、發起遊行、公投,流舞社 我是社長,世界上的貓貓沒有家或者是沒有食物,我家的貓貓,INFJ
AlLZoy,2023-10-17 04:56:25,貓,國立成功大學 National Cheng Kung University (NCKU),學士,政治學系,我還在就讀！,我是台灣人啊 🇹🇼！,19,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,2,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1,1,2,無,5,4,2,3,有,有食安問題（林鳳營牛奶）,4,4,3,5,2,有,買股票,股市基金。年化回報 5-15%,2,5,2,2,2,3,1,4,"老師, 幫手, 助手, 教練, 導師, 朋友, 夥伴",,3,打字,4,5,4,1,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",2,2,媒體的報導或專家的文章,3,3,"機車, 腳踏車, 走路",0,沒有,2,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們",True,True,False,False,False,True,False,False,False,False,False,False,False,False,,如果免費的話我會用它,2,3,4,2,多在社群媒體上發文呼籲，增加曝光率,無,熱帶雨林的濫伐,媒體、課本,ISFJ
